Codigo do Investidor;Data de Adesao;Estado Civil;Genero;Profissao;Idade;UF do Investidor;Cidade do Investidor;Pais do Investidor;Situacao da Conta;Operou 12 Meses
87990;21/02/2007;Casado(a) com brasileiro(a) nato(a);M;MÉDICO;60;SP;SAO PAULO;BRASIL;D;N
89745;08/03/2007;Casado(a) com brasileiro(a) nato(a);F;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);72;RJ;RIO DE JANEIRO;BRASIL;D;N
90146;29/05/2018;Solteiro(a);M;ENGENHEIRO;34;SP;SAO PAULO;BRASIL;D;N
90455;15/03/2007;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;55;SP;SAO PAULO;BRASIL;D;N
90496;16/03/2007;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);79;SP;SAO PAULO;BRASIL;D;N
92739;10/04/2007;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;40;SP;TABOAO DA SERRA;BRASIL;D;N
93959;27/01/2016;Casado(a) com brasileiro(a) nato(a);F;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);58;SP;SAO PAULO;BRASIL;D;N
95522;10/05/2007;Casado(a) com brasileiro(a) nato(a);M;ANALISTA DE SISTEMAS;51;SP;SAO PAULO;BRASIL;D;N
96550;22/05/2007;Casado(a) com brasileiro(a) nato(a);F;ADVOGADO;61;SP;SAO PAULO;BRASIL;D;N
96760;24/05/2007;Casado(a) com brasileiro(a) nato(a);F;MÚSICO;34;SP;SAO CAETANO DO SUL;BRASIL;D;N
96765;24/05/2007;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;67;SP;SAO CAETANO DO SUL;BRASIL;D;N
97355;30/05/2007;Casado(a) com brasileiro(a) nato(a);M;MÚSICO;51;SP;SAO BERNARDO DO CAMPO;BRASIL;D;N
97578;26/11/2015;Casado(a) com brasileiro(a) nato(a);M;MÉDICO;51;SP;CAMPINAS;BRASIL;D;N
99559;22/06/2007;Casado(a) com brasileiro(a) nato(a);M;OUTROS;41;SP;SAO PAULO;BRASIL;D;N
99848;27/06/2007;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);77;SP;SAO PAULO;BRASIL;D;N
99900;27/06/2007;União estável;F;GERENTE;53;SP;SAO PAULO;BRASIL;D;N
100847;11/07/2007;Casado(a) com brasileiro(a) nato(a);F;JORNALISTA;60;SP;SAO JOSE DOS CAMPOS;BRASIL;D;N
100854;11/07/2007;Casado(a) com brasileiro(a) nato(a);M;APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO);72;SP;SAO JOSE DOS CAMPOS;BRASIL;D;N
101764;20/07/2007;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;39;SP;SAO PAULO;BRASIL;D;N
103189;03/08/2007;Casado(a) com brasileiro(a) nato(a);M;ADMINISTRADOR;36;SP;SAO PAULO;BRASIL;D;N
104001;13/08/2007;Solteiro(a);M;ADVOGADO;37;DF;BRASILIA;BRASIL;D;N
